id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
482,1749,,349,257,0,0,62,39,8,X,X,62,257,24,17,t,t,aceptados/1749.jpg,257,256,257,256,17/11/2021 11:16:19,2021/11/17 11:16:53,2021/11/17 11:17:04,
594,2183,,351,276,0,0,107,43,15,X,X,80,276,43,31,t,t,aceptados/2183.jpg,276,276,276,276,17/11/2021 18:56:50,2021/11/17 18:58:43,2021/11/17 18:57:22,
353,1620,,347,257,0,0,58,63,7,X,X,46,257,31,25,t,t,aceptados/1620.jpg,257,257,257,257,17/11/2021 09:50:33,2021/11/17 09:50:34,2021/11/17 09:50:35,
379,1646,,350,263,0,0,58,63,7,X,X,49,263,22,22,t,t,aceptados/1646.jpg,263,263,263,263,17/11/2021 10:13:47,2021/11/17 10:15:09,2021/11/17 10:21:29,
424,1691,,350,270,0,0,62,39,8,X,X,56,270,25,22,t,t,aceptados/1691.jpg,270,270,270,270,17/11/2021 10:58:38,2021/11/17 10:58:45,2021/11/17 11:00:33,
467,1734,,350,287,0,0,62,39,8,X,X,60,287,18,21,t,t,aceptados/1734.jpg,287,287,287,287,17/11/2021 11:16:25,2021/11/17 11:17:08,2021/11/17 11:17:19,
93,1293,,349,280,0,0,34,32,4,X,X,11,280,32,32,t,t,aceptados/1293.jpg,280,280,280,280,16/11/2021 20:52:14,2021/11/16 20:58:59,2021/11/16 20:55:36,
230,1471,,215,181,0,0,49,28,6,X,X,32,181,22,25,t,t,aceptados/1471.jpg,181,181,181,181,17/11/2021 09:33:33,2021/11/17 09:33:34,2021/11/17 09:33:36,
70,1270,,348,260,0,0,34,32,4,X,X,8,260,2,32,t,t,aceptados/1270.jpg,260,260,260,260,16/11/2021 20:35:19,2021/11/16 20:43:33,2021/11/16 20:42:45,
569,2083,,350,299,0,0,92,56,13,X,X,77,299,20,22,t,t,aceptados/2083.jpg,299,299,299,299,17/11/2021 12:40:54,2021/11/17 12:41:27,2021/11/17 12:41:03,
527,1903,,350,278,0,0,74,48,10,X,X,67,278,25,22,t,t,aceptados/1903.jpg,278,278,278,278,17/11/2021 11:49:34,2021/11/17 11:49:36,2021/11/17 11:49:40,
81,1281,,348,257,0,0,34,32,4,X,X,9,257,2,32,t,t,aceptados/1281.jpg,257,257,257,257,16/11/2021 20:37:14,2021/11/16 20:48:01,2021/11/16 20:44:40,
656,2621,,258,170,0,0,163,21,24,X,X,88,170,22,21,t,t,aceptados/2621.jpg,170,170,170,170,17/11/2021 17:55:31,2021/11/17 17:55:55,2021/11/17 17:56:18,
531,1907,,350,284,0,0,74,48,10,X,X,68,284,18,22,t,t,aceptados/1907.jpg,284,284,284,284,17/11/2021 12:01:54,2021/11/17 12:02:24,2021/11/17 12:02:29,
138,1344,,350,266,0,0,40,12,5,X,X,18,266,21,25,t,t,aceptados/1344.jpg,266,266,266,266,17/11/2021 09:10:26,2021/11/17 09:10:27,2021/11/17 09:10:29,
521,1897,,348,297,0,0,74,48,10,X,X,67,297,18,17,t,t,aceptados/1897.jpg,297,297,297,297,17/11/2021 11:49:41,2021/11/17 11:49:50,2021/11/17 11:49:51,
82,1282,,348,273,0,0,34,32,4,X,X,9,273,40,3,t,t,aceptados/1282.jpg,273,273,273,273,16/11/2021 20:37:23,2021/11/16 20:48:09,2021/11/16 20:45:01,
398,1665,,352,278,0,0,62,39,8,X,X,53,278,21,32,t,t,aceptados/1665.jpg,278,278,278,278,17/11/2021 10:13:55,2021/11/17 10:15:11,2021/11/17 10:21:46,
239,1499,,350,276,0,0,53,60,7,X,X,34,276,43,31,t,t,aceptados/1499.jpg,276,276,276,276,17/11/2021 18:57:06,2021/11/17 18:59:19,2021/11/17 18:57:36,
343,1610,,349,261,0,0,58,63,7,X,X,45,261,21,20,t,t,aceptados/1610.jpg,261,261,261,261,17/11/2021 09:50:55,2021/11/17 09:51:00,2021/11/17 09:51:18,
468,1735,,347,260,0,0,62,39,8,X,X,60,260,25,22,t,t,aceptados/1735.jpg,260,260,260,260,17/11/2021 11:16:38,2021/11/17 11:17:27,2021/11/17 11:17:39,
182,1388,,210,165,0,0,41,12,5,X,X,23,165,21,25,t,t,aceptados/1388.jpg,165,165,165,165,17/11/2021 09:01:35,2021/11/17 09:01:53,2021/11/17 09:02:10,
439,1706,,351,273,0,0,62,39,8,X,X,57,273,18,21,t,t,aceptados/1706.jpg,273,273,273,273,17/11/2021 10:58:55,2021/11/17 10:59:01,2021/11/17 11:00:58,
570,2084,,350,287,0,0,92,56,13,X,X,77,287,20,21,t,t,aceptados/2084.jpg,287,287,287,287,17/11/2021 12:41:31,2021/11/17 12:41:58,2021/11/17 12:41:33,
200,1424,,349,289,0,0,47,28,6,X,X,28,289,22,25,t,t,aceptados/1424.jpg,289,289,289,289,17/11/2021 09:10:55,2021/11/17 09:10:58,2021/11/17 09:10:56,
267,1527,,348,272,0,0,53,60,7,X,X,36,272,22,21,t,t,aceptados/1527.jpg,272,272,272,272,17/11/2021 18:37:10,2021/11/17 18:37:51,2021/11/17 18:37:26,
440,1707,,348,270,0,0,62,39,8,X,X,58,270,24,21,t,t,aceptados/1707.jpg,270,270,270,270,17/11/2021 10:58:43,2021/11/17 10:58:50,2021/11/17 11:00:45,
256,1516,,348,270,0,0,53,60,7,X,X,35,270,22,21,t,t,aceptados/1516.jpg,270,270,270,270,17/11/2021 18:57:20,2021/11/17 18:59:47,2021/11/17 18:58:03,
504,1785,,350,273,0,0,67,39,8,X,X,66,273,20,17,t,t,aceptados/1785.jpg,273,273,273,273,17/11/2021 11:16:45,2021/11/17 11:17:37,2021/11/17 11:17:40,
199,1423,,350,269,0,0,47,28,6,X,X,28,269,21,25,t,t,aceptados/1423.jpg,269,269,269,269,17/11/2021 09:11:21,2021/11/17 09:11:21,2021/11/17 09:11:26,
336,1603,,351,254,0,0,58,63,7,X,X,44,256,24,21,t,t,aceptados/1603.jpg,254,256,254,256,17/11/2021 10:12:48,2021/11/17 10:13:27,2021/11/17 10:19:48,
42,1242,,346,278,0,0,33,32,4,X,X,5,278,41,32,t,t,aceptados/1242.jpg,278,278,278,278,16/11/2021 20:47:04,2021/11/16 20:56:01,2021/11/16 20:49:18,
621,2210,,350,285,0,0,108,43,15,X,X,83,285,22,21,t,t,aceptados/2210.jpg,285,285,285,285,17/11/2021 19:21:37,2021/11/17 19:22:37,2021/11/17 19:22:16,
384,1651,,256,176,0,0,58,63,7,X,X,49,176,18,32,t,t,aceptados/1651.jpg,176,176,176,176,17/11/2021 10:13:27,2021/11/17 10:14:40,2021/11/17 10:21:05,
341,1608,,350,262,0,0,58,63,7,X,X,45,262,21,25,t,t,aceptados/1608.jpg,262,262,262,262,17/11/2021 09:51:37,2021/11/17 09:51:38,2021/11/17 09:52:37,
523,1899,,350,288,0,0,74,48,10,X,X,67,288,25,17,t,t,aceptados/1899.jpg,288,288,288,288,17/11/2021 12:01:09,2021/11/17 12:01:10,2021/11/17 12:01:10,
340,1607,,350,255,0,0,58,63,7,X,X,45,255,21,25,t,t,aceptados/1607.jpg,255,255,255,255,17/11/2021 09:51:57,2021/11/17 09:51:59,2021/11/17 09:52:59,
577,2091,,350,278,0,0,92,56,13,X,X,78,278,20,21,t,t,aceptados/2091.jpg,278,278,278,278,17/11/2021 12:41:49,2021/11/17 12:42:34,2021/11/17 12:41:52,
380,1647,,350,250,0,0,58,63,7,X,X,49,250,24,32,t,t,aceptados/1647.jpg,250,250,250,250,17/11/2021 10:14:45,2021/11/17 10:16:26,2021/11/17 10:22:49,
269,1529,,350,275,0,0,53,60,7,X,X,36,275,43,31,t,t,aceptados/1529.jpg,275,275,275,275,17/11/2021 18:36:45,2021/11/17 18:36:48,2021/11/17 18:36:47,
503,1784,,349,273,0,0,67,39,8,X,X,66,273,24,22,t,t,aceptados/1784.jpg,273,273,273,273,17/11/2021 11:16:37,2021/11/17 11:17:18,2021/11/17 11:17:25,
63,1263,,347,270,0,0,34,32,4,X,X,8,270,2,32,t,t,aceptados/1263.jpg,270,270,270,270,16/11/2021 20:40:07,2021/11/16 20:49:50,2021/11/16 20:45:51,
346,1613,,353,243,0,0,58,63,7,X,X,45,243,24,25,t,t,aceptados/1613.jpg,243,243,243,243,17/11/2021 09:52:12,2021/11/17 09:52:13,2021/11/17 09:53:12,
574,2088,,352,300,0,0,92,56,13,X,X,77,300,24,21,t,t,aceptados/2088.jpg,300,300,300,300,17/11/2021 12:45:00,2021/11/17 12:45:19,2021/11/17 12:45:09,
201,1425,,350,285,0,0,47,28,6,X,X,28,285,22,25,t,t,aceptados/1425.jpg,285,285,285,285,17/11/2021 09:11:26,2021/11/17 09:11:26,2021/11/17 09:11:46,
246,1506,,349,263,0,0,53,60,7,X,X,34,263,22,21,t,t,aceptados/1506.jpg,263,263,263,263,17/11/2021 18:37:27,2021/11/17 18:38:21,2021/11/17 18:37:54,
257,1517,,350,267,0,0,53,60,7,X,X,35,267,22,21,t,t,aceptados/1517.jpg,267,267,267,267,17/11/2021 18:58:08,2021/11/17 19:00:34,2021/11/17 18:58:34,
479,1746,,350,250,0,0,62,39,8,X,X,62,250,18,22,t,t,aceptados/1746.jpg,250,250,250,250,17/11/2021 11:18:16,2021/11/17 11:19:15,2021/11/17 11:19:27,
542,1918,,241,200,0,0,74,48,10,X,X,69,200,20,22,t,t,aceptados/1918.jpg,200,200,200,200,17/11/2021 12:01:20,2021/11/17 12:01:22,2021/11/17 12:01:20,
316,1583,,349,230,0,0,58,63,7,X,X,43,230,24,21,t,t,aceptados/1583.jpg,230,230,230,230,17/11/2021 11:06:33,2021/11/17 11:06:33,2021/11/17 11:06:33,
592,2181,,350,282,0,0,107,43,15,X,X,80,282,22,42,t,t,aceptados/2181.jpg,282,282,282,282,17/11/2021 18:58:22,2021/11/17 19:01:01,2021/11/17 18:58:37,
224,1448,,349,279,0,0,47,28,6,X,X,31,279,18,20,t,t,aceptados/1448.jpg,279,279,279,279,17/11/2021 09:26:59,2021/11/17 09:26:59,2021/11/17 09:27:05,
400,1667,,348,257,0,0,62,39,8,X,X,54,257,20,22,t,t,aceptados/1667.jpg,257,257,257,257,17/11/2021 11:00:38,2021/11/17 11:01:08,2021/11/17 11:03:14,
603,2192,,350,278,0,0,107,43,15,X,X,81,278,22,31,t,t,aceptados/2192.jpg,278,278,278,278,17/11/2021 19:03:40,2021/11/17 19:03:56,2021/11/17 19:03:46,
