id,numero,sexo,total_electores,cantidad_votantes,dni_presidente,dni_suplente,circuito_id,municipio_id,departamento_id,esta_cargada,esta_incorporada,escuela_id,cantidad_sobres,asignacion1,asignacion2,carga1,carga2,ruta_imagen,cantidad_votantes2,cantidad_sobres2,cantidad_votantes3,cantidad_sobres3,fh_ruta,h_asig1,h_asig2,bue
35,2265,,350,273,0,0,130,23,19,X,X,3,273,55,36,t,t,aceptados/2265.JPG,273,273,273,273,25/10/2017 18:30:27,2017/10/25 18:31:39,2017/10/25 18:31:29,
3,1170,,350,256,0,0,32,10,3,X,X,7,256,8,36,t,t,aceptados/1170.JPG,256,256,256,256,25/10/2017 09:37:00,2017/10/25 09:37:05,2017/10/25 09:37:08,
5,1172,,350,261,0,0,32,10,3,X,X,7,261,83,36,t,t,aceptados/1172.JPG,261,261,261,261,25/10/2017 09:49:44,2017/10/25 09:49:45,2017/10/25 09:50:00,
36,2266,,350,285,0,0,130,23,19,X,X,3,285,55,36,t,t,aceptados/2266.JPG,285,285,285,285,25/10/2017 18:29:11,2017/10/25 18:32:00,2017/10/25 18:29:14,
2,1169,,350,270,0,0,32,10,3,X,X,7,270,8,36,t,t,aceptados/1169.JPG,270,270,270,270,25/10/2017 09:36:23,2017/10/25 09:36:24,2017/10/25 09:36:28,
9,1176,,350,273,0,0,32,10,3,X,X,7,273,8,36,t,t,aceptados/1176.JPG,273,273,273,273,25/10/2017 09:38:04,2017/10/25 09:38:09,2017/10/25 09:38:48,
12,1179,,350,262,0,0,32,10,3,X,X,2,262,83,36,t,t,aceptados/1179.JPG,262,262,262,262,25/10/2017 09:37:30,2017/10/25 09:38:30,2017/10/25 09:37:37,
4,1171,,350,257,0,0,32,10,3,X,X,7,257,83,36,t,t,aceptados/1171.JPG,257,257,257,257,25/10/2017 09:37:38,2017/10/25 09:38:07,2017/10/25 09:38:34,
30,2260,,350,273,0,0,130,23,19,X,X,3,273,55,36,t,t,aceptados/2260.JPG,273,273,273,273,25/10/2017 18:29:19,2017/10/25 18:29:34,2017/10/25 18:29:20,
8,1175,,350,248,0,0,32,10,3,X,X,7,248,8,36,t,t,aceptados/1175.JPG,248,248,248,248,25/10/2017 09:49:35,2017/10/25 09:49:37,2017/10/25 09:49:38,
11,1178,,350,249,0,0,32,10,3,X,X,2,249,8,36,t,t,aceptados/1178.JPG,249,249,249,249,25/10/2017 09:37:56,2017/10/25 09:38:28,2017/10/25 09:39:01,
7,1174,,350,250,0,0,32,10,3,X,X,7,250,83,36,t,t,aceptados/1174.JPG,250,250,250,250,25/10/2017 09:49:52,2017/10/25 09:50:10,2017/10/25 09:50:27,
24,2254,,350,290,0,0,130,23,19,X,X,3,290,83,36,t,t,aceptados/2254.JPG,290,290,290,290,25/10/2017 18:08:08,2017/10/25 18:09:30,2017/10/25 18:08:35,
37,2267,,351,266,0,0,130,23,19,X,X,3,266,55,48,t,t,aceptados/2267.JPG,266,266,266,266,25/10/2017 18:28:52,2017/10/25 18:28:54,2017/10/25 18:28:53,
34,2264,,350,277,0,0,130,23,19,X,X,3,277,55,48,t,t,aceptados/2264.JPG,277,277,277,277,25/10/2017 18:29:01,2017/10/25 18:29:04,2017/10/25 18:29:03,
43,2273,,350,280,0,0,130,23,19,X,X,3,280,55,36,t,t,aceptados/2273.JPG,280,280,280,280,25/10/2017 18:34:52,2017/10/25 18:34:55,2017/10/25 18:34:53,
42,2272,,350,279,0,0,130,23,19,X,X,3,279,55,36,t,t,aceptados/2272.JPG,279,279,279,279,25/10/2017 18:35:14,2017/10/25 18:42:12,2017/10/25 18:43:39,
39,2269,,350,266,0,0,130,23,19,X,X,3,266,55,36,t,t,aceptados/2269.JPG,266,266,266,266,25/10/2017 18:35:04,2017/10/25 18:35:05,2017/10/25 18:35:08,
29,2259,,350,275,0,0,130,23,19,X,X,3,275,55,36,t,t,aceptados/2259.JPG,275,275,275,275,25/10/2017 18:37:48,2017/10/25 18:37:50,2017/10/25 18:37:52,
44,2274,,350,290,0,0,130,23,19,X,X,4,290,55,36,t,t,aceptados/2274.JPG,290,290,290,290,25/10/2017 19:00:33,2017/10/25 19:09:26,2017/10/25 19:00:36,
40,2270,,350,281,0,0,130,23,19,X,X,3,281,55,36,t,t,aceptados/2270.JPG,281,281,281,281,25/10/2017 19:00:52,2017/10/25 19:08:20,2017/10/25 19:03:55,
